true_label,pred_cluster,embedding_dim0,embedding_dim1
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.112928934,-0.13161135
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.110317566,-0.12945013
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.11292892,-0.13161135
14,12,0.11031754,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
14,12,0.112928934,-0.13161135
14,12,0.110317566,-0.12945013
14,12,0.11313967,-0.12879136
